host,startTime,requestDuration,overallDuration,succes
192.168.96.5,2023-01-22T08:50:47Z,5971,6627,true
192.168.96.5,2023-01-22T08:50:47Z,6863,7448,true
192.168.96.5,2023-01-22T08:50:47Z,6240,6844,true
192.168.96.4,2023-01-22T08:50:48Z,6177,6836,true
192.168.96.4,2023-01-22T08:50:48Z,5944,6570,true
192.168.96.4,2023-01-22T08:50:48Z,6653,7262,true
192.168.96.4,2023-01-22T08:50:48Z,9197,9817,true
192.168.96.4,2023-01-22T08:50:48Z,6251,6863,true
192.168.96.4,2023-01-22T08:50:48Z,7130,7712,true
192.168.96.4,2023-01-22T08:50:48Z,6625,7241,true
192.168.96.5,2023-01-22T08:50:48Z,6409,7041,true
192.168.96.5,2023-01-22T08:50:48Z,5889,6458,true
192.168.96.5,2023-01-22T08:50:48Z,6318,6895,true
192.168.96.5,2023-01-22T08:50:48Z,7730,8338,true
192.168.96.5,2023-01-22T08:50:48Z,6667,7277,true
192.168.96.5,2023-01-22T08:50:48Z,8045,8608,true
192.168.96.5,2023-01-22T08:50:48Z,5978,6535,true
192.168.96.5,2023-01-22T08:50:48Z,7406,7994,true
192.168.96.5,2023-01-22T08:50:48Z,6267,6927,true
192.168.96.5,2023-01-22T08:50:48Z,6113,6707,true
192.168.96.5,2023-01-22T08:50:48Z,6826,7459,true
192.168.96.5,2023-01-22T08:50:48Z,6551,7132,true
192.168.96.5,2023-01-22T08:50:48Z,6628,7279,true
192.168.96.5,2023-01-22T08:50:48Z,7911,8493,true
192.168.96.4,2023-01-22T08:50:48Z,6661,7247,true
192.168.96.5,2023-01-22T08:50:48Z,8707,9350,true
192.168.96.5,2023-01-22T08:50:48Z,5903,6484,true
192.168.96.5,2023-01-22T08:50:49Z,6493,7074,true
192.168.96.5,2023-01-22T08:50:49Z,6148,6737,true
192.168.96.5,2023-01-22T08:50:49Z,6814,7473,true
192.168.96.5,2023-01-22T08:50:49Z,6419,7039,true
192.168.96.5,2023-01-22T08:50:49Z,6335,6936,true
192.168.96.5,2023-01-22T08:50:49Z,8369,8990,true
192.168.96.4,2023-01-22T08:50:49Z,6653,7303,true
192.168.96.4,2023-01-22T08:50:49Z,7026,7641,true
192.168.96.5,2023-01-22T08:50:49Z,8023,8680,true
192.168.96.5,2023-01-22T08:50:49Z,6051,6644,true
192.168.96.5,2023-01-22T08:50:49Z,6529,7113,true
192.168.96.5,2023-01-22T08:50:49Z,6233,6796,true
192.168.96.5,2023-01-22T08:50:49Z,6832,7412,true
192.168.96.5,2023-01-22T08:50:49Z,6288,6905,true
192.168.96.5,2023-01-22T08:50:49Z,7628,8298,true
